S No.,Title,Decisions,Words
1,SpiceJet to issue 6.4 crore warrants to promoters,"{""SpiceJet"": ""neutral""}",8
2,MMTC Q2 net loss at Rs 10.4 crore,"{""MMTC"": ""neutral""}",8
3,"Mid-cap funds can deliver more, stay put: Experts","{""Mid-cap funds"": ""positive""}",8
4,Mid caps now turn into market darlings,"{""Mid caps"": ""positive""}",7
5,"Market seeing patience, if not conviction: Prakash Diwan","{""Market"": ""neutral""}",8
6,Infosys: Will the strong volume growth sustain?,"{""Infosys"": ""neutral""}",7
7,Hudco raises Rs 279 cr via tax-free bonds,"{""Hudco"": ""positive""}",8
8,HOEC could retest 30-35 levels: Ashwani Gujral,"{""HOEC"": ""neutral""}",7
9,Gold shines on seasonal demand; Silver dull,"{""Gold"": ""positive"", ""Silver"": ""negative""}",7
10,Genpact appoints Edward J Fitzpatrick as CFO,"{""Genpact"": ""neutral""}",7
11,"EXL beats profit estimates, cuts sales outlook","{""EXL"": ""positive""}",7
12,Wait and watch on Bharti Airtel: Vinay Khattar,"{""Bharti Airtel"": ""neutral""}",8
13,"Would stick to banking: Girish Pai, Centrum Broking","{""banking"": ""positive"", ""Centrum Broking"": ""neutral""}",8
14,MSCI adds Aurobindo Pharma to India index,"{""Aurobindo Pharma"": ""positive"", ""MSCI"": ""neutral"", ""India index"": ""neutral""}",7
15,Ashok Leyland raises Rs 667 crore through QIP,"{""Ashok Leyland"": ""positive""}",8
16,"At Wipro, growth remains a mirage","{""Wipro"": ""negative""}",6
17,Why Chinese stocks leave US investors vulnerable,"{""US"": ""negative"", ""Chinese stocks"": ""neutral""}",7
18,US stocks finish mixed amid more tech selling,"{""tech"": ""negative"", ""US stocks"": ""neutral""}",8
19,Opec reduces estimate on oil demand growth,"{""oil"": ""negative"", ""Opec"": ""neutral""}",7
20,Oil prices mixed ahead of US supply report,"{""Oil"": ""neutral""}",8
21,Makemytrip expands share sale plan,"{""Makemytrip"": ""neutral""}",5
22,Gur closes quiet on some support,"{""Gur"": ""neutral""}",6
23,Gur closes steady on low demand,"{""Gur"": ""neutral""}",6
24,Gur closes steady on thin trade,"{""Gur"": ""neutral""}",6
25,Gur remains flat in tight movements,"{""Gur"": ""neutral""}",6
26,Popularising G-Secs among retail investors,"{""G-Secs"": ""neutral""}",5
27,Gold trades nearly flat on dull demand,"{""Gold"": ""neutral""}",7
28,ZEE announces closure of share buyback programme,"{""ZEE"": ""neutral""}",7
29,ZEE Q2 net at Rs 216.3 cr,"{""ZEE"": ""neutral""}",7
30,China to start yuan trading on Tuesday,"{""yuan"": ""neutral""}",7
31,BSE inks strategic partnership with YES Bank,"{""YES Bank"": ""neutral"", ""BSE"": ""neutral""}",7
32,Yes Bank launches Sovereign Gold Bond,"{""Yes Bank"": ""neutral"", ""Gold Bond"": ""neutral""}",6
33,"Yen firms in Asia on Iraq, Ukraine jitters","{""Yen"": ""positive""}",8
34,Billionaire's stake shakes Woolworth's buyout of David Jones,"{""Woolworth"": ""neutral"", ""David Jones"": ""neutral""}",7
35,Wonderla Holidays IPO subscribed 42% on Day 1,"{""Wonderla Holidays"": ""neutral""}",8
36,Wonderla Holidays IPO subscribed 98% on second day,"{""Wonderla Holidays"": ""neutral""}",8
37,WNS appoints Ronald Gillette as Chief Operating Officer,"{""WNS"": ""neutral""}",8
38,Strong deals crucial for Wipro's growth push,"{""Wipro"": ""neutral""}",7
39,Ten key takeaways from Wipro Q1 results,"{""Wipro"": ""neutral""}",7
40,Whirlpool may head to around 450-475: Devang Visaria,"{""Whirlpool"": ""neutral""}",8
41,Western Coalfields CMD D C Garg passes away,"{""Western Coalfields"": ""neutral""}",8
42,VRL Logistics IPO grey market premium at 38%,"{""VRL Logistics"": ""neutral""}",8
43,"IPO after tax row is settled, says Vodafone","{""Vodafone"": ""neutral""}",8
44,Vodafone gets ready for IPO of Indian arm,"{""Vodafone"": ""neutral""}",8
45,VMware appoints Arun Parameswaran as India MD,"{""VMware"": ""neutral""}",7
46,Videocon D2H likely to bring IPO this fiscal,"{""Videocon D2H"": ""neutral""}",8
47,Videocon appoints Sanjeev Bakshi as COO,"{""Videocon"": ""neutral""}",6
48,Viber ups marketing efforts with CMO appointment,"{""Viber"": ""neutral""}",7
49,Verizon appoints Christopher Formant to head enterprise business,"{""Verizon"": ""neutral""}",8
50,"Amidst commodity boom, vanilla remains plain vanilla","{""vanilla"": ""neutral""}",7
51,Universal Commodity Exchange goes live,"{""Universal Commodity Exchange"": ""neutral""}",5
52,United Spirits appoints Anand Kripalu as CEO,"{""United Spirits"": ""neutral""}",7
53,Promoters raise stake to 46.72 pc in Unitech,"{""Unitech"": ""neutral""}",8
54,Uninor appoints Grameenphone CTO as new India COO,"{""Uninor"": ""neutral""}",8
55,TV Today Q2 profit at Rs 12.83 crore,"{""TV Today"": ""neutral""}",8
56,Tokyo stocks flat by the break,"{""Tokyo stocks"": ""neutral""}",6
57,Adi Rajaram appointed TNIIC chairman,"{""TNIIC"": ""neutral""}",5
58,4200 is key level for Titan: Ashwani Gujral,"{""Titan"": ""neutral""}",8
59,Kapil Kapoor is global COO of Timex Group,"{""Timex Group"": ""neutral""}",8
60,TIL Limited can open-up for Rs 900-1200: Ventura,"{""TIL Limited"": ""neutral""}",8
61,Thyrocare Technologies Limited files draft IPO papers,"{""Thyrocare Technologies Limited"": ""neutral""}",7
62,Thejo Engineering announces 1:1 maiden bonus,"{""Thejo Engineering"": ""neutral""}",6
63,Neutral on telecom: Ramanathan K,"{""telecom"": ""neutral""}",5
64,Technofab Engg fix IPO rate at Rs 230-240,"{""Technofab Engg"": ""neutral""}",8
65,Tata Sons names Gopichand Katragadda chief technology officer,"{""Tata Sons"": ""neutral""}",8
66,Tata Motors appoints Gajendra Chandel as CHRO,"{""Tata Motors"": ""neutral""}",7
67,Kalyanasundaram resigns as Independent Director of Tata Communications,"{""Tata Communications"": ""neutral""}",8
68,Talwalkars can retest 133-140 levels: Ashwani Gujral,"{""Talwalkars"": ""neutral""}",7
69,Suzlon board approves cashless restructuring of FCCBs,"{""Suzlon"": ""neutral""}",7
70,Sunteck Realty: Building a solid foundation,"{""Sunteck Realty"": ""neutral""}",6
71,Harsha Viji is deputy MD of Sundaram MF,"{""Sundaram MF"": ""neutral""}",8
72,Sugar closes steady on sporadic buying,"{""Sugar"": ""neutral""}",6
73,Sugar ends steady in thin trade,"{""Sugar"": ""neutral""}",6
74,Sugar settles steady on little doing,"{""Sugar"": ""neutral""}",6
75,Sugar ends quiet amid sufficient stock positions,"{""Sugar"": ""neutral""}",7
76,India produces 14.3 million tonne sugar till mid-February,"{""sugar"": ""neutral""}",8
77,Sterling steadies after Scottish referendum debate wobble,"{""Sterling"": ""neutral""}",7
78,UK data gives battered sterling some respite,"{""sterling"": ""neutral""}",7
79,Red-hot sterling cools a touch after PMI numbers,"{""sterling"": ""neutral""}",8
80,Steel prices end steady in thin trade,"{""Steel"": ""neutral""}",7
81,Tight movement in steel prices in thin trade,"{""steel"": ""neutral""}",8
82,Spices hold steady in mute trade,"{""Spices"": ""neutral""}",6
83,SpiceJet makes top-level changes,"{""SpiceJet"": ""neutral""}",4
84,Spicejet seeks shareholders' nod to hike promoters holding,"{""Spicejet"": ""neutral""}",8
85,Several small caps trading at eye-popping valuations,"{""small caps"": ""neutral""}",7
86,Sistema on way to market,"{""Sistema"": ""neutral""}",5
87,Shoppers Stop elevates Salil Nair to CEO,"{""Shoppers Stop"": ""neutral""}",7
88,Neutral on Shiva Cement: Seshadri Bharathan,"{""Shiva Cement"": ""neutral""}",6
89,How will Shell-BG deal impact global energy market,"{""Shell-BG"": ""neutral"", ""energy market"": ""neutral""}",8
90,SGX's India office to woo fund raising corporations,"{""SGX"": ""neutral""}",8
91,Prasun Kumar Mukherjee quits Sesa Sterlite,"{""Sesa Sterlite"": ""neutral""}",6
92,Which Sensex stocks should you bet on?,"{""Sensex stocks"": ""neutral""}",7
93,Sensex rangebound; top 20 intraday trading ideas,"{""Sensex"": ""neutral""}",7
94,SEC director with big stock holdings stirs debate,"{""SEC"": ""neutral""}",8
